trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2023,Export,458,710813,952.108,kg,952.108,58607229.965
2023,Export,528,710813,0.034,kg,0.034,2061.579
2023,Export,608,710813,0.019,kg,0.019,1174.867
2023,Export,699,710813,540.069,kg,540.069,34861512.354
2023,Export,724,710813,602.667,kg,602.667,985665.159
2023,Export,752,710813,107.469,kg,107.469,6810713.379
2023,Export,764,710813,0.111,kg,0.111,6797.76
2023,Export,792,710813,153.226,kg,153.226,9625700.204
2023,Export,826,710813,2537.084,kg,2537.084,148773443.672
2024,Import,40,710811,1.695,kg,1.695,71988.937
2024,Import,156,710811,0.0,kg,0.0,11.358
2024,Import,251,710811,34.437,kg,34.437,1651292.103
2024,Import,276,710811,29.17,kg,29.17,1099724.093
2024,Import,380,710811,3.048,kg,3.048,161157.904
2024,Import,392,710811,0.007,kg,0.007,287.356
2024,Import,528,710811,1.019,kg,1.019,1218.708
2024,Import,36,710812,159887.037,kg,159887.037,4376491299.982
2024,Import,40,710812,1231.293,kg,1231.293,94588095.637
2024,Import,56,710812,4073.482,kg,4073.482,286066626.734
2024,Import,124,710812,108871.498,kg,108871.498,7510603281.278
2024,Import,156,710812,5573.007,kg,5573.007,449840061.701
2024,Import,251,710812,23871.243,kg,23871.243,1563532272.332
2024,Import,276,710812,86704.125,kg,86704.125,5484370786.134
2024,Import,380,710812,24384.187,kg,24384.187,1724029413.331
2024,Import,440,710812,0.327,kg,0.327,16143.05
2024,Import,442,710812,906.161,kg,906.161,66578657.647
2024,Import,490,710812,115.051,kg,115.051,8972981.121
2024,Import,598,710812,0.314,kg,0.314,15478.61
2024,Import,616,710812,1260.181,kg,1260.181,96775662.275
2024,Import,792,710812,4402.248,kg,4402.248,350548608.575
2024,Import,842,710812,183880.223,kg,183880.223,12426734240.804
2024,Import,36,710813,5341.438,kg,5341.438,43306874.738
2024,Import,40,710813,294.782,kg,294.782,22783165.182
2024,Import,56,710813,4.032,kg,4.032,307399.417
2024,Import,124,710813,18.274,kg,18.274,1103605.104
2024,Import,156,710813,23.056,kg,23.056,10763.926
2024,Import,203,710813,12.01,kg,12.01,790533.528
2024,Import,251,710813,749.189,kg,749.189,30543988.761
2024,Import,276,710813,1790.829,kg,1790.829,83826245.876
2024,Import,344,710813,0.101,kg,0.101,4653.351
2024,Import,380,710813,13049.552,kg,13049.552,776192315.304
2024,Import,392,710813,4.06,kg,4.06,48431.42
2024,Import,442,710813,131.284,kg,131.284,8470187.541
2024,Import,458,710813,4.88,kg,4.88,363293.008
2024,Import,490,710813,0.037,kg,0.037,1716.186
2024,Import,528,710813,3.482,kg,3.482,51234.561
2024,Import,699,710813,1.331,kg,1.331,15558.115
2024,Import,702,710813,148.01,kg,148.01,1964376.173
2024,Import,724,710813,7.002,kg,7.002,501890.623
2024,Import,752,710813,11.137,kg,11.137,590637.075
2024,Import,764,710813,0.009,kg,0.009,415.701
2024,Import,784,710813,87.022,kg,87.022,7194257.4
2024,Import,826,710813,941.822,kg,941.822,67208229.763
2024,Import,842,710813,276.389,kg,276.389,10761779.341
2024,Export,36,710811,0.009,kg,0.009,545.181
2024,Export,40,710811,10.418,kg,10.418,605890.797
2024,Export,208,710811,0.118,kg,0.118,6913.582
2024,Export,251,710811,87.107,kg,87.107,5126904.404
2024,Export,380,710811,4.44,kg,4.44,321123.224
2024,Export,392,710811,0.096,kg,0.096,5614.233
2024,Export,528,710811,0.038,kg,0.038,2255.688
2024,Export,724,710811,0.069,kg,0.069,4059.33
2024,Export,826,710811,16.617,kg,16.617,1189571.13
2024,Export,36,710812,1531.001,kg,1531.001,115002796.165
2024,Export,124,710812,5135.371,kg,5135.371,417803787.546
2024,Export,203,710812,221.023,kg,221.023,15540383.226
2024,Export,208,710812,21.018,kg,21.018,1738953.871
2024,Export,442,710812,118.289,kg,118.289,8309831.508
2024,Export,528,710812,0.197,kg,0.197,14684.689
2024,Export,608,710812,0.012,kg,0.012,864.34
2024,Export,616,710812,124.251,kg,124.251,8118392.182
2024,Export,642,710812,4.233,kg,4.233,261595.09
2024,Export,826,710812,149295.063,kg,149295.063,11781595302.717
2024,Export,842,710812,107051.158,kg,107051.158,8917388285.249
2024,Export,36,710813,595.021,kg,595.021,45735765.94
2024,Export,40,710813,3113.022,kg,3113.022,247553606.197
2024,Export,124,710813,1507.069,kg,1507.069,123912704.337
2024,Export,203,710813,444.419,kg,444.419,30550671.777
2024,Export,208,710813,16.004,kg,16.004,1122158.309
2024,Export,251,710813,7072.207,kg,7072.207,448775162.208
2024,Export,268,710813,4.129,kg,4.129,18996.166
2024,Export,276,710813,20860.296,kg,20860.296,1617507003.008
2024,Export,344,710813,388.059,kg,388.059,29998157.649
2024,Export,348,710813,219.127,kg,219.127,16186364.168
2024,Export,376,710813,1.047,kg,1.047,5845.935
2024,Export,380,710813,12369.113,kg,12369.113,690625861.639
2024,Export,392,710813,45.938,kg,45.938,1485237.788
2024,Export,410,710813,3.289,kg,3.289,208397.876
2024,Export,442,710813,15.44,kg,15.44,1054277.541
2024,Export,496,710813,0.51,kg,0.51,38358.057
2024,Export,752,710813,97.188,kg,97.188,7529946.055
2024,Export,842,710813,46238.005,kg,46238.005,3635107333.798
2020,Import,40,710811,2.0,kg,2.0,69851.207
2020,Import,246,710811,49.0,kg,49.0,2526919.885
2020,Import,688,710811,9.0,kg,9.0,497535.112
2020,Import,702,710811,62.0,kg,62.0,419266.107
2020,Import,31,710812,8273.0,kg,8273.0,208795578.765
2020,Import,32,710812,164024.0,kg,164024.0,938645401.406
2020,Import,51,710812,2821.0,kg,2821.0,134693847.336
2020,Import,72,710812,221.0,kg,221.0,10262044.599
2020,Import,76,710812,17303.0,kg,17303.0,851936357.226
2020,Import,112,710812,230.0,kg,230.0,13477797.415
2020,Import,116,710812,1422.0,kg,1422.0,78266703.853
2020,Import,152,710812,176574.0,kg,176574.0,763510896.609
2020,Import,170,710812,2175.0,kg,2175.0,105499498.569
2020,Import,196,710812,436.0,kg,436.0,1939246.617
2020,Import,203,710812,2.0,kg,2.0,112456.252
2020,Import,208,710812,7.0,kg,7.0,360375.631
2020,Import,214,710812,85348.0,kg,85348.0,1185262998.387
2020,Import,218,710812,3414.0,kg,3414.0,143360591.58
2020,Import,231,710812,2005.0,kg,2005.0,120734647.768
2020,Import,233,710812,21.0,kg,21.0,988596.143
2020,Import,246,710812,11353.0,kg,11353.0,617510476.814
2020,Import,268,710812,2395.0,kg,2395.0,87551328.417
2020,Import,288,710812,59518.0,kg,59518.0,2989231449.218
2020,Import,300,710812,31.0,kg,31.0,1449210.223
2020,Import,324,710812,5581.0,kg,5581.0,276805771.696
2020,Import,328,710812,1027.0,kg,1027.0,58518801.843
2020,Import,344,710812,177817.0,kg,177817.0,10403121481.759
2020,Import,360,710812,37783.0,kg,37783.0,2158415741.393
2020,Import,372,710812,45.0,kg,45.0,2739873.678
2020,Import,376,710812,31.0,kg,31.0,1714391.688
2020,Import,384,710812,24205.0,kg,24205.0,846884629.635
